N,passt,voxel,plana,clust,cylin,total
31,0.086,0.194,0.037,0.019,0.042,0.554
32,0.085,0.192,0.037,0.014,0.042,0.560
33,0.084,0.192,0.037,0.014,0.046,0.548
0,0.087,0.195,0.037,0.008,0.038,0.565
1,0.082,0.183,0.047,0.259,0.083,0.841
2,0.083,0.182,0.047,0.201,0.077,0.777
3,0.083,0.181,0.047,0.194,0.060,0.758
4,0.083,0.184,0.047,0.175,0.054,0.719
5,0.072,0.182,0.047,0.155,0.052,0.679
6,0.084,0.184,0.042,0.127,0.055,0.678
7,0.085,0.188,0.042,0.104,0.053,0.651
8,0.084,0.187,0.043,0.093,0.044,0.639
9,0.084,0.188,0.043,0.084,0.043,0.616
10,0.083,0.188,0.043,0.082,0.052,0.638
11,0.072,0.187,0.042,0.095,0.052,0.619
12,0.082,0.186,0.042,0.091,0.055,0.642
13,0.072,0.187,0.042,0.090,0.049,0.610
14,0.082,0.185,0.042,0.095,0.046,0.637
15,0.074,0.186,0.042,0.071,0.045,0.590
16,0.082,0.195,0.042,0.070,0.072,0.648
17,0.074,0.188,0.042,0.056,0.052,4.537
18,0.082,0.187,0.042,0.068,0.040,0.608
19,0.074,0.188,0.042,0.058,0.042,0.575
20,0.084,0.188,0.037,0.046,0.059,0.600
21,0.084,0.187,0.037,0.039,0.108,0.630
22,0.084,0.189,0.037,0.029,0.047,4.523
23,0.084,0.191,0.048,0.031,0.050,0.578
24,0.084,0.189,0.037,0.030,0.045,0.572
25,0.085,0.190,0.037,0.025,0.040,0.551
26,0.091,0.191,0.037,0.019,0.044,0.573
27,0.084,0.192,0.037,0.019,0.041,0.549
28,0.084,0.190,0.037,0.014,0.040,0.554
29,0.085,0.193,0.037,0.015,0.038,0.543
30,0.084,0.191,0.037,0.011,0.041,0.552
31,0.084,0.190,0.037,0.011,0.039,0.536
32,0.084,0.190,0.037,0.010,0.036,0.545
33,0.084,0.191,0.037,0.007,0.035,0.530
34,0.084,0.191,0.037,0.004,0.038,0.543
35,0.084,0.191,0.037,0.004,0.039,0.532
36,0.085,0.191,0.037,0.004,0.034,0.539
37,0.084,0.191,0.037,0.004,0.034,0.526
38,0.085,0.192,0.032,0.001,0.031,0.530
39,0.085,0.190,0.032,0.001,0.032,0.516
40,0.085,0.193,0.037,0.000,0.000,0.503
0,0.086,0.195,0.032,0.000,0.000,0.503
1,0.081,0.183,0.047,0.235,0.075,0.808
2,0.081,0.182,0.047,0.243,0.085,0.815
3,0.083,0.187,0.047,0.217,0.171,0.894
4,0.083,0.185,0.047,0.184,0.067,0.738
5,0.081,0.182,0.047,0.174,0.069,0.741
6,0.073,0.183,0.047,0.177,0.070,0.721
7,0.083,0.185,0.047,0.169,0.064,0.735
8,0.084,0.186,0.042,0.146,0.143,0.805
9,0.081,0.211,0.043,0.147,0.110,0.780
10,0.073,0.186,0.042,0.130,0.100,0.705
11,0.107,0.188,0.047,0.112,0.054,0.698
12,0.083,0.186,0.042,0.095,0.073,0.653
13,0.086,0.186,0.042,0.089,0.056,0.650
14,0.083,0.187,0.042,0.076,0.040,0.604
15,0.084,0.186,0.042,0.052,0.046,0.598
16,0.085,0.188,0.037,0.044,0.042,0.581
17,0.087,0.192,0.043,0.039,0.039,0.589
18,0.084,0.190,0.037,0.035,0.038,0.560
19,0.087,0.190,0.037,0.031,0.038,0.575
20,0.083,0.190,0.037,0.021,0.038,0.544
21,0.089,0.200,0.039,0.018,0.045,0.580
22,0.085,0.190,0.037,0.011,0.036,0.534
23,0.085,0.193,0.037,0.007,0.035,0.544
24,0.084,0.191,0.037,0.004,0.032,0.523
25,0.084,0.192,0.032,0.002,0.032,0.528
26,0.084,0.192,0.032,0.000,0.000,0.484
27,0.082,0.184,0.058,0.297,0.085,0.892
28,0.089,0.182,0.053,0.282,0.093,0.871
29,0.081,0.182,0.052,0.294,0.098,0.895
30,0.072,0.182,0.052,0.270,0.091,0.838
31,0.082,0.184,0.053,0.275,0.103,0.885
32,0.072,0.181,0.053,0.272,0.076,0.825
33,0.082,0.181,0.053,0.249,0.077,0.829
34,0.092,0.183,0.048,0.202,0.061,0.757
35,0.081,0.184,0.047,0.173,0.069,0.742
36,0.072,0.183,0.048,0.174,0.092,0.740
37,0.081,0.182,0.047,0.208,0.081,0.786
38,0.072,0.183,0.047,0.181,0.058,0.740
39,0.083,0.183,0.047,0.156,0.102,0.759
40,0.072,0.186,0.048,0.158,0.069,0.705
41,0.082,0.188,0.042,0.128,0.065,0.693
42,0.072,0.186,0.043,0.132,0.183,0.787
43,0.082,0.199,0.043,0.134,0.073,0.719
44,0.072,0.185,0.043,0.113,0.059,0.644
45,0.082,0.185,0.042,0.109,0.055,0.660
46,0.072,0.187,0.043,0.098,0.080,0.651
47,0.082,0.187,0.042,0.096,0.075,0.669
48,0.073,0.186,0.042,0.095,0.046,0.613
49,0.082,0.187,0.043,0.089,0.070,0.671
50,0.073,0.187,0.043,0.082,0.069,0.628
51,0.083,0.189,0.042,0.063,0.071,0.636
52,0.072,0.190,0.052,0.063,0.075,0.622
53,0.082,0.189,0.042,0.056,0.075,0.633
54,0.074,0.190,0.037,0.040,0.068,0.582
55,0.082,0.190,0.042,0.047,0.050,0.628
56,0.073,0.187,0.037,0.042,0.047,0.558
57,0.085,0.189,0.037,0.034,0.079,0.612
58,0.084,0.189,0.037,0.029,0.045,0.561
59,0.085,0.191,0.037,0.022,0.037,0.559
60,0.085,0.191,0.037,0.016,0.037,0.543
61,0.085,0.205,0.037,0.007,0.044,0.565
62,0.084,0.192,0.037,0.014,0.038,0.539
63,0.087,0.196,0.038,0.010,0.060,0.579
64,0.101,0.192,0.038,0.010,0.049,0.608
65,0.085,0.193,0.037,0.007,0.048,0.558
66,0.085,0.194,0.038,0.006,0.039,0.541
67,0.087,0.193,0.032,0.002,0.034,0.537
68,0.084,0.192,0.032,0.000,0.000,0.483
69,0.082,0.185,0.048,0.207,0.122,0.832
70,0.072,0.185,0.048,0.184,0.068,0.729
71,0.082,0.186,0.047,0.148,0.068,0.719
72,0.073,0.186,0.042,0.129,0.061,0.665
73,0.082,0.185,0.042,0.121,0.078,0.709
74,0.072,0.185,0.042,0.117,0.064,0.680
75,0.082,0.184,0.042,0.115,0.064,0.699
76,0.072,0.186,0.042,0.102,0.084,0.683
77,0.082,0.187,0.043,0.091,0.065,0.656
78,0.072,0.187,0.042,0.053,0.053,0.578
79,0.082,0.187,0.042,0.063,0.069,0.631
80,0.081,0.188,0.042,0.050,0.056,0.625
81,0.082,0.188,0.043,0.048,0.054,0.608
82,0.072,0.188,0.037,0.038,0.045,0.551
83,0.085,0.190,0.037,0.029,0.049,0.593
